"year"	"particulates"
1973.25	31.64
1973.26923076923	36.16
1973.28846153846	26.97
1973.30769230769	45.76
1973.32692307692	28.17
1973.34615384615	47.48
1973.36538461538	37.47
1973.38461538462	38.23
1973.40384615385	30.47
1973.42307692308	32.5
1973.44230769231	42.1
1973.46153846154	33.92
1973.48076923077	30.54
1973.5	45.7
1973.51923076923	37.03
1973.53846153846	30.5
1973.55769230769	33.47
1973.57692307692	36.95
1973.59615384615	41.08
1973.61538461538	56.16
1973.63461538462	41.31
1973.65384615385	66.01
1973.67307692308	56.46
1973.69230769231	62.06
1973.71153846154	54.2
1973.73076923077	73.04
1973.75	45.54
1973.76923076923	53.33
1973.78846153846	67.77
1973.80769230769	75.61
1973.82692307692	71.46
1973.84615384615	63.29
1973.86538461538	62.04
1973.88461538462	38.94
1973.90384615385	63.31
1973.92307692308	67.74
1973.94230769231	73.76
1973.96153846154	70.13
1973.98076923077	65.87
1974	53.98
1974.01923076923	52.55
1974.03846153846	47.86
1974.05769230769	46.35
1974.07692307692	63.72
1974.09615384615	30.78
1974.11538461538	30.02
1974.13461538462	38.49
1974.15384615385	42.06
1974.17307692308	37.61
1974.19230769231	40.2
1974.21153846154	29.69
1974.23076923077	29.53
1974.25	25.86
1974.26923076923	38.95
1974.28846153846	25.7
1974.30769230769	27.84
1974.32692307692	35.82
1974.34615384615	35.45
1974.36538461538	42.62
1974.38461538462	25.63
1974.40384615385	33.96
1974.42307692308	42.15
1974.44230769231	37.38
1974.46153846154	30.58
1974.48076923077	23.68
1974.5	33.1
1974.51923076923	36.67
1974.53846153846	38.6
1974.55769230769	45.79
1974.57692307692	33.46
1974.59615384615	50.93
1974.61538461538	41.47
1974.63461538462	28.15
1974.65384615385	54.62
1974.67307692308	59.46
1974.69230769231	35.47
1974.71153846154	52.77
1974.73076923077	65.32
1974.75	66.49
1974.76923076923	62.46
1974.78846153846	60.38
1974.80769230769	72.83
1974.82692307692	53.78
1974.84615384615	81.09
1974.86538461538	44.05
1974.88461538462	65.68
1974.90384615385	45.98
1974.92307692308	77.13
1974.94230769231	69.77
1974.96153846154	51.34
1974.98076923077	43.97
1975	45.11
1975.01923076923	49.49
1975.03846153846	68.46
1975.05769230769	32.69
1975.07692307692	35.97
1975.09615384615	40.71
1975.11538461538	27.56
1975.13461538462	38.52
1975.15384615385	24.95
1975.17307692308	28.94
1975.19230769231	27.64
1975.21153846154	34.4
1975.23076923077	38.51
1975.25	27.59
1975.26923076923	27.26
1975.28846153846	30.53
1975.30769230769	28.93
1975.32692307692	31.07
1975.34615384615	21.8
1975.36538461538	39.47
1975.38461538462	32.09
1975.40384615385	38.39
1975.42307692308	24.72
1975.44230769231	36.54
1975.46153846154	33.27
1975.48076923077	42.32
1975.5	24.6
1975.51923076923	34.57
1975.53846153846	42.28
1975.55769230769	42.04
1975.57692307692	32.93
1975.59615384615	55.42
1975.61538461538	47.8
1975.63461538462	49.69
1975.65384615385	32.25
1975.67307692308	62.39
1975.69230769231	39.47
1975.71153846154	71.81
1975.73076923077	66.09
1975.75	66.65
1975.76923076923	87.02
1975.78846153846	70.08
1975.80769230769	75.04
1975.82692307692	57.53
1975.84615384615	86.54
1975.86538461538	74.91
1975.88461538462	65.11
1975.90384615385	77.79
1975.92307692308	68.15
1975.94230769231	56.86
1975.96153846154	72.82
1975.98076923077	28.88
1976	46.97
1976.01923076923	46.06
1976.03846153846	45.68
1976.05769230769	34.93
1976.07692307692	42.69
1976.09615384615	49.61
1976.11538461538	34.81
1976.13461538462	32.69
1976.15384615385	37.25
1976.17307692308	30.87
1976.19230769231	33.85
1976.21153846154	37.26
1976.23076923077	30.77
1976.25	41.64
1976.26923076923	24.47
1976.28846153846	27.11
1976.30769230769	26.35
1976.32692307692	31.02
1976.34615384615	31.12
1976.36538461538	51.07
1976.38461538462	31.41
1976.40384615385	38.8
1976.42307692308	20.25
1976.44230769231	39.55
1976.46153846154	24.78
1976.48076923077	34.29
1976.5	28.97
1976.51923076923	23.49
1976.53846153846	43.61
1976.55769230769	35.53
1976.57692307692	37.07
1976.59615384615	26.8
1976.61538461538	32.85
1976.63461538462	32.26
1976.65384615385	62.64
1976.67307692308	46.12
1976.69230769231	39.81
1976.71153846154	58.6
1976.73076923077	62.88
1976.75	55.21
1976.76923076923	70.06
1976.78846153846	68.84
1976.80769230769	72.52
1976.82692307692	76.28
1976.84615384615	70.51
1976.86538461538	82.92
1976.88461538462	59.98
1976.90384615385	49.06
1976.92307692308	73.6
1976.94230769231	66.53
1976.96153846154	58.9
1976.98076923077	73.23
1977	63.09
1977.01923076923	59.88
1977.03846153846	38.2
1977.05769230769	50.47
1977.07692307692	42.62
1977.09615384615	43.78
1977.11538461538	32.37
1977.13461538462	38.38
1977.15384615385	38.56
1977.17307692308	29.4
1977.19230769231	42.67
1977.21153846154	26.34
1977.23076923077	25.97
1977.25	25.43
1977.26923076923	31.87
1977.28846153846	24.29
1977.30769230769	39.16
1977.32692307692	25.12
1977.34615384615	29.09
1977.36538461538	44.28
1977.38461538462	30.82
1977.40384615385	35.48
1977.42307692308	32
1977.44230769231	42.21
1977.46153846154	50.72
1977.48076923077	35.68
1977.5	42.33
1977.51923076923	38.64
1977.53846153846	31.34
1977.55769230769	35.67
1977.57692307692	46.25
1977.59615384615	28.99
1977.61538461538	40.95
1977.63461538462	43.52
1977.65384615385	55.96
1977.67307692308	62.68
1977.69230769231	55.11
1977.71153846154	58.2
1977.73076923077	46.54
1977.75	70.18
1977.76923076923	63.47
1977.78846153846	54.2
1977.80769230769	79.33
1977.82692307692	84.63
1977.84615384615	61.3
1977.86538461538	45.23
1977.88461538462	49.39
1977.90384615385	55.44
1977.92307692308	52.89
1977.94230769231	49.81
1977.96153846154	70.13
1977.98076923077	51.2
1978	33.42
1978.01923076923	51.38
1978.03846153846	44.75
1978.05769230769	29.73
1978.07692307692	40.61
1978.09615384615	38.54
1978.11538461538	33.52
1978.13461538462	27.99
1978.15384615385	33.03
1978.17307692308	28.45
1978.19230769231	34.62
1978.21153846154	28.5
1978.23076923077	36.68
1978.25	38.51
1978.26923076923	36.46
1978.28846153846	31.67
1978.30769230769	29.37
1978.32692307692	45.1
1978.34615384615	37.34
1978.36538461538	40.83
1978.38461538462	26.23
1978.40384615385	41.39
1978.42307692308	54.79
1978.44230769231	48.53
1978.46153846154	49.52
1978.48076923077	48.24
1978.5	38.98
1978.51923076923	48.3
1978.53846153846	50.38
1978.55769230769	46.98
1978.57692307692	37.37
1978.59615384615	33.96
1978.61538461538	42
1978.63461538462	83.31
1978.65384615385	56.31
1978.67307692308	80.37
1978.69230769231	44.22
1978.71153846154	56.81
1978.73076923077	65.55
1978.75	54.19
1978.76923076923	59
1978.78846153846	34.21
1978.80769230769	70.47
1978.82692307692	45.77
1978.84615384615	58.69
1978.86538461538	68.59
1978.88461538462	69.01
1978.90384615385	41.98
1978.92307692308	57.91
1978.94230769231	40.87
1978.96153846154	49.12
1978.98076923077	36.65
1979	97.94
1979.01923076923	40.38
1979.03846153846	41.46
1979.05769230769	52.88
1979.07692307692	66.78
1979.09615384615	33.82
1979.11538461538	36.4
1979.13461538462	35.32
1979.15384615385	41.24
1979.17307692308	37.87
1979.19230769231	45.54
1979.21153846154	37.26
1979.23076923077	35.95
1979.25	42.48
1979.26923076923	42.84
1979.28846153846	34.24
1979.30769230769	37.36
1979.32692307692	39.51
1979.34615384615	54.25
1979.36538461538	37.89
1979.38461538462	48.03
1979.40384615385	43.51
1979.42307692308	48.69
1979.44230769231	54.48
1979.46153846154	49.22
1979.48076923077	50.34
1979.5	55.97
1979.51923076923	35.5
1979.53846153846	62.81
1979.55769230769	38.61
1979.57692307692	63.6
1979.59615384615	57.53
1979.61538461538	54.97
1979.63461538462	47.22
1979.65384615385	69.14
1979.67307692308	42.17
1979.69230769231	45.59
1979.71153846154	70.72
1979.73076923077	57.58
1979.75	62.61
