"year"	"temperataure"
1979.13461538462	66.89
1979.15384615385	72.41
1979.17307692308	72.35
1979.19230769231	71.47
1979.21153846154	74.14
1979.23076923077	65.76
1979.25	83.13
1979.26923076923	73.7
1979.28846153846	76.09
1979.30769230769	69.63
1979.32692307692	86.79
1979.34615384615	86.49
1979.36538461538	78.49
1979.38461538462	84.7
1979.40384615385	80.75
1979.42307692308	84.53
1979.44230769231	85.34
1979.46153846154	83.88
1979.48076923077	84.91
1979.5	84.63
1979.51923076923	78.23
1979.53846153846	86.6
1979.55769230769	79.98
1979.57692307692	90.93
1979.59615384615	93.43
1979.61538461538	90.16
1979.63461538462	80.38
1979.65384615385	82.37
1979.67307692308	75.35
1979.69230769231	72.29
1979.71153846154	75.68
1979.73076923077	73.33
1979.75	70.52
