"year"	"cardiovascular_mortality"
1979.15384615385	89.15
1979.17307692308	87.61
1979.19230769231	81.99
1979.21153846154	84.86
1979.23076923077	81.17
1979.25	87.33
1979.26923076923	86.4
1979.28846153846	85.9
1979.30769230769	79.01
1979.32692307692	83.49
1979.34615384615	87.88
1979.36538461538	74.94
1979.38461538462	80.32
1979.40384615385	81.75
1979.42307692308	78.68
1979.44230769231	74.62
1979.46153846154	74.16
1979.48076923077	71.5
1979.5	75.89
1979.51923076923	74.89
1979.53846153846	77.36
1979.55769230769	73.63
1979.57692307692	81.17
1979.59615384615	83.91
1979.61538461538	82.36
1979.63461538462	79.74
1979.65384615385	73.46
1979.67307692308	79.03
1979.69230769231	76.56
1979.71153846154	78.52
1979.73076923077	89.43
1979.75	85.49
